Id,Name,AllIngredients,Verbs,Steps,Ingredient
387324,cheesy polenta with chipotle chicken,"boneless skinless chicken breasts, chipotle chile in adobo, adobo sauce, brown sugar, fresh cilantro, chili powder, garlic, kosher salt, ground black pepper, polenta, milk, water, white cheddar cheese, fresh ground black pepper, sour cream, mayonnaise, lime juice, cilantro, scallion, salt, pepper",make,3,"[' fresh cilantro leaves, fresh cilantro, cilantro,fresh cilantro, cilantro leaves, dried cilantro, fresh cilantro stem, cilantro leaf, sour cream, cream cheese, cream, reduced-fat creamy peanut butter, reduced-fat cream cheese, cream of chicken soup, cream of mushroom soup, fat free sour cream,cream cheese, spinach and artichoke cream cheese, heavy cream,sour cream, whipped cream cheese, light cream, double cream, whipping cream, whipped cream, half-and-half cream, cream sherry, low-fat sour cream, cream of wild mushroom soup, nonfat sour cream, cream cheese with garlic and herbs, heavy whipping cream, sweetened whipped cream, horseradish cream, cream of tartar, soy sauce, tomato sauce, a.1. original sauce, worcestershire sauce, adobo sauce, spaghetti sauce, thai sweet chili sauce, sriracha sauce, tabasco sauce, picante sauce, pesto sauce, tamari soy sauce, applesauce, hot sauce,spaghetti sauce, hot pepper sauce, hoisin sauce, oyster sauce, reduced sodium soy sauce, low sodium soy sauce, chili-garlic sauce, fish sauce, sweet chili sauce, teriyaki sauce, dark soy sauce, barbecue sauce, soya sauce, red chili sauce, chili sauce,hoisin sauce, sweet soy sauce, vegetarian oyster sauce, light soy sauce, pizza sauce, cranberry sauce, horseradish sauce, ""franks red hot sauce"", remoulade sauce, liquid hot pepper sauce, pasta sauce, sweet and sour sauce,fat-free mayonnaise,mayonnaise, mayonnaise, reduced-fat mayonnaise, fat-free mayonnaise, lime juice, fresh lime juice, lime, lime wedge, limes, dried limes, fresh lime leaves, lime rind, lime wedges, lime zest, fresh garlic, garlic, garlic clove, garlic cloves, garlic powder, minced garlic cloves, fresh garlic cloves, garlic granules, garlic salt, granulated garlic, garlic paste, ginger-garlic paste,garlic clove, bulbs of garlic,garlic, scallions,scallions, scallion, scallion top, salt, salt and pepper, unsalted butter,salt, salt & freshly ground black pepper,unsalted butter, kosher salt, coarse salt, seasoning salt, sea salt, salted peanuts, salt & pepper,kosher salt, celery salt, kosher salt & freshly ground black pepper, coarse sea salt, no-salt-added corn, salt and black pepper,sea salt,coarse salt, fresh coarse ground black pepper, cracked black pepper, green pepper, cayenne pepper, red chili pepper, ground cayenne pepper, pepper, red peppers, habanero pepper, green bell pepper, fresh jalapeno peppers, serrano pepper, fresh ground black pepper, red bell pepper, yellow bell pepper, peppercorns, black pepper, white pepper, ground red pepper, ground black pepper, red pepper, red bell peppers, yellow pepper, black peppercorns, chipotle pepper, fresh cracked pepper, piquillo peppers, red pepper flakes, crushed red pepper flakes, bell pepper, green peppers, bell peppers, scotch bonnet pepper, yellow peppers, jalapeno pepper, peppercorn, pepperoni, dried red chili peppers, szechuan peppercorns, roasted red pepper, poblano pepper, dry crushed red pepper, fresh ground white pepper, red chili peppers, red cayenne pepper, pickled jalapeno pepper, coarse black pepper, thai red chili pepper, red sweet bell pepper, green chili pepper, sweet red pepper, fresh ground pepper, pepperoncini peppers, chili pepper, monterey jack pepper cheese, green bell peppers, chinese red peppers, yellow bell peppers, jalapeno peppers, dried red pepper flakes, habanero peppers, chipotle peppers, chili peppers, red chili pepper flakes, pickled sweet peppers, white peppercorns, roasted red and yellow peppers, hot pepper flakes, ground pepper, roasted red peppers,roasted red peppers, sweet pepper, pepperoni slices, scotch bonnet peppers, lemon pepper seasoning, cracked pepper, hot pepper paste, hot chili pepper, poblano peppers,white pepper']"
387324,cheesy polenta with chipotle chicken,"boneless skinless chicken breasts, chipotle chile in adobo, adobo sauce, brown sugar, fresh cilantro, chili powder, garlic, kosher salt, ground black pepper, polenta, milk, water, white cheddar cheese, fresh ground black pepper, sour cream, mayonnaise, lime juice, cilantro, scallion, salt, pepper",make,6,"['boneless skinless chicken breasts, chicken broth,chicken breasts, chicken stock, chicken thigh fillet, chicken bouillon cube,chicken thighs, chicken stock cube, reduced-sodium chicken broth, cooked chicken breasts, boneless chicken,boneless chicken breasts, chicken thighs, low-fat chicken broth, chicken, boneless chicken thighs, boneless skinless chicken breasts, cream of chicken soup, organic free range fat free chicken broth, boneless skinless chicken thighs, cooked chicken,chicken broth, boneless skinless chicken breast halves, ground chicken,skinless chicken thighs,chicken tenders,chicken, chicken bouillon cubes,chicken breast halves, chicken base,skinless chicken breasts, low sodium chicken broth, chicken legs, chicken breasts, chicken livers, chicken-flavored ramen noodles, skinless chicken thighs, chicken stock powder, boneless chicken breasts,chicken wings,boneless chicken thighs, boneless chicken breast halves, roasting chickens, chicken giblets, homemade chicken stock,cooked chicken,boneless chicken breast, chicken bouillon, chicken breast,boneless skinless chicken breast, rich chicken broth,chicken breast, sliced mushrooms, mixed mushrooms, baby portabella mushrooms, mushrooms, oyster mushroom, cremini mushrooms, portabella mushroom, mushroom, cream of mushroom soup, portabella mushrooms, dried shiitake mushrooms, button mushrooms, fresh mushrooms, white mushroom, cream of wild mushroom soup, cremini mushroom, shiitake mushrooms, button mushroom, shiitake mushroom, dried porcini mushrooms']"
387324,cheesy polenta with chipotle chicken,"boneless skinless chicken breasts, chipotle chile in adobo, adobo sauce, brown sugar, fresh cilantro, chili powder, garlic, kosher salt, ground black pepper, polenta, milk, water, white cheddar cheese, fresh ground black pepper, sour cream, mayonnaise, lime juice, cilantro, scallion, salt, pepper",make,10,"['boneless skinless chicken breasts, chicken broth,chicken breasts, chicken stock, chicken thigh fillet, chicken bouillon cube,chicken thighs, chicken stock cube, reduced-sodium chicken broth, cooked chicken breasts, boneless chicken,boneless chicken breasts, chicken thighs, low-fat chicken broth, chicken, boneless chicken thighs, boneless skinless chicken breasts, cream of chicken soup, organic free range fat free chicken broth, boneless skinless chicken thighs, cooked chicken,chicken broth, boneless skinless chicken breast halves, ground chicken,skinless chicken thighs,chicken tenders,chicken, chicken bouillon cubes,chicken breast halves, chicken base,skinless chicken breasts, low sodium chicken broth, chicken legs, chicken breasts, chicken livers, chicken-flavored ramen noodles, skinless chicken thighs, chicken stock powder, boneless chicken breasts,chicken wings,boneless chicken thighs, boneless chicken breast halves, roasting chickens, chicken giblets, homemade chicken stock,cooked chicken,boneless chicken breast, chicken bouillon, chicken breast,boneless skinless chicken breast, rich chicken broth,chicken breast, daikon radish, horseradish, prepared horseradish, radish, horseradish sauce, horseradish cream, red radish, radishes']"
387324,cheesy polenta with chipotle chicken,"boneless skinless chicken breasts, chipotle chile in adobo, adobo sauce, brown sugar, fresh cilantro, chili powder, garlic, kosher salt, ground black pepper, polenta, milk, water, white cheddar cheese, fresh ground black pepper, sour cream, mayonnaise, lime juice, cilantro, scallion, salt, pepper",make,19,"[' salad greens, mixed salad greens, salad dressing, caesar salad dressing, salad oil, mixed salad green']"
387324,cheesy polenta with chipotle chicken,"boneless skinless chicken breasts, chipotle chile in adobo, adobo sauce, brown sugar, fresh cilantro, chili powder, garlic, kosher salt, ground black pepper, polenta, milk, water, white cheddar cheese, fresh ground black pepper, sour cream, mayonnaise, lime juice, cilantro, scallion, salt, pepper",transfer,4,"[' mixed mushrooms, mixed sprouts, mixed salad greens, mixed candied fruit, mixed italian herbs, hidden valley original ranch seasoning mix, mixed fruit, corn muffin mix, coleslaw mix, mixed baby greens, mixed salad green, zatarians gumbo base mix, packaged coleslaw mix,mixed greens']"
387324,cheesy polenta with chipotle chicken,"boneless skinless chicken breasts, chipotle chile in adobo, adobo sauce, brown sugar, fresh cilantro, chili powder, garlic, kosher salt, ground black pepper, polenta, milk, water, white cheddar cheese, fresh ground black pepper, sour cream, mayonnaise, lime juice, cilantro, scallion, salt, pepper",chill,4,"[' mixed mushrooms, mixed sprouts, mixed salad greens, mixed candied fruit, mixed italian herbs, hidden valley original ranch seasoning mix, mixed fruit, corn muffin mix, coleslaw mix, mixed baby greens, mixed salad green, zatarians gumbo base mix, packaged coleslaw mix,mixed greens']"
387324,cheesy polenta with chipotle chicken,"boneless skinless chicken breasts, chipotle chile in adobo, adobo sauce, brown sugar, fresh cilantro, chili powder, garlic, kosher salt, ground black pepper, polenta, milk, water, white cheddar cheese, fresh ground black pepper, sour cream, mayonnaise, lime juice, cilantro, scallion, salt, pepper",made,5,{}
387324,cheesy polenta with chipotle chicken,"boneless skinless chicken breasts, chipotle chile in adobo, adobo sauce, brown sugar, fresh cilantro, chili powder, garlic, kosher salt, ground black pepper, polenta, milk, water, white cheddar cheese, fresh ground black pepper, sour cream, mayonnaise, lime juice, cilantro, scallion, salt, pepper",come,6,"['boneless skinless chicken breasts, chicken broth,chicken breasts, chicken stock, chicken thigh fillet, chicken bouillon cube,chicken thighs, chicken stock cube, reduced-sodium chicken broth, cooked chicken breasts, boneless chicken,boneless chicken breasts, chicken thighs, low-fat chicken broth, chicken, boneless chicken thighs, boneless skinless chicken breasts, cream of chicken soup, organic free range fat free chicken broth, boneless skinless chicken thighs, cooked chicken,chicken broth, boneless skinless chicken breast halves, ground chicken,skinless chicken thighs,chicken tenders,chicken, chicken bouillon cubes,chicken breast halves, chicken base,skinless chicken breasts, low sodium chicken broth, chicken legs, chicken breasts, chicken livers, chicken-flavored ramen noodles, skinless chicken thighs, chicken stock powder, boneless chicken breasts,chicken wings,boneless chicken thighs, boneless chicken breast halves, roasting chickens, chicken giblets, homemade chicken stock,cooked chicken,boneless chicken breast, chicken bouillon, chicken breast,boneless skinless chicken breast, rich chicken broth,chicken breast, sliced mushrooms, mixed mushrooms, baby portabella mushrooms, mushrooms, oyster mushroom, cremini mushrooms, portabella mushroom, mushroom, cream of mushroom soup, portabella mushrooms, dried shiitake mushrooms, button mushrooms, fresh mushrooms, white mushroom, cream of wild mushroom soup, cremini mushroom, shiitake mushrooms, button mushroom, shiitake mushroom, dried porcini mushrooms']"
387324,cheesy polenta with chipotle chicken,"boneless skinless chicken breasts, chipotle chile in adobo, adobo sauce, brown sugar, fresh cilantro, chili powder, garlic, kosher salt, ground black pepper, polenta, milk, water, white cheddar cheese, fresh ground black pepper, sour cream, mayonnaise, lime juice, cilantro, scallion, salt, pepper",grilling,6,"['boneless skinless chicken breasts, chicken broth,chicken breasts, chicken stock, chicken thigh fillet, chicken bouillon cube,chicken thighs, chicken stock cube, reduced-sodium chicken broth, cooked chicken breasts, boneless chicken,boneless chicken breasts, chicken thighs, low-fat chicken broth, chicken, boneless chicken thighs, boneless skinless chicken breasts, cream of chicken soup, organic free range fat free chicken broth, boneless skinless chicken thighs, cooked chicken,chicken broth, boneless skinless chicken breast halves, ground chicken,skinless chicken thighs,chicken tenders,chicken, chicken bouillon cubes,chicken breast halves, chicken base,skinless chicken breasts, low sodium chicken broth, chicken legs, chicken breasts, chicken livers, chicken-flavored ramen noodles, skinless chicken thighs, chicken stock powder, boneless chicken breasts,chicken wings,boneless chicken thighs, boneless chicken breast halves, roasting chickens, chicken giblets, homemade chicken stock,cooked chicken,boneless chicken breast, chicken bouillon, chicken breast,boneless skinless chicken breast, rich chicken broth,chicken breast, sliced mushrooms, mixed mushrooms, baby portabella mushrooms, mushrooms, oyster mushroom, cremini mushrooms, portabella mushroom, mushroom, cream of mushroom soup, portabella mushrooms, dried shiitake mushrooms, button mushrooms, fresh mushrooms, white mushroom, cream of wild mushroom soup, cremini mushroom, shiitake mushrooms, button mushroom, shiitake mushroom, dried porcini mushrooms']"
387324,cheesy polenta with chipotle chicken,"boneless skinless chicken breasts, chipotle chile in adobo, adobo sauce, brown sugar, fresh cilantro, chili powder, garlic, kosher salt, ground black pepper, polenta, milk, water, white cheddar cheese, fresh ground black pepper, sour cream, mayonnaise, lime juice, cilantro, scallion, salt, pepper",grill,7,"[' panko breadcrumbs, campanelle pasta, pancetta, spanish onion, spanish olives with pimento, panir']"
387324,cheesy polenta with chipotle chicken,"boneless skinless chicken breasts, chipotle chile in adobo, adobo sauce, brown sugar, fresh cilantro, chili powder, garlic, kosher salt, ground black pepper, polenta, milk, water, white cheddar cheese, fresh ground black pepper, sour cream, mayonnaise, lime juice, cilantro, scallion, salt, pepper",take,8,{}
387324,cheesy polenta with chipotle chicken,"boneless skinless chicken breasts, chipotle chile in adobo, adobo sauce, brown sugar, fresh cilantro, chili powder, garlic, kosher salt, ground black pepper, polenta, milk, water, white cheddar cheese, fresh ground black pepper, sour cream, mayonnaise, lime juice, cilantro, scallion, salt, pepper",set,9,{}
387324,cheesy polenta with chipotle chicken,"boneless skinless chicken breasts, chipotle chile in adobo, adobo sauce, brown sugar, fresh cilantro, chili powder, garlic, kosher salt, ground black pepper, polenta, milk, water, white cheddar cheese, fresh ground black pepper, sour cream, mayonnaise, lime juice, cilantro, scallion, salt, pepper",slicing,9,{}
387324,cheesy polenta with chipotle chicken,"boneless skinless chicken breasts, chipotle chile in adobo, adobo sauce, brown sugar, fresh cilantro, chili powder, garlic, kosher salt, ground black pepper, polenta, milk, water, white cheddar cheese, fresh ground black pepper, sour cream, mayonnaise, lime juice, cilantro, scallion, salt, pepper",re,9,{}
387324,cheesy polenta with chipotle chicken,"boneless skinless chicken breasts, chipotle chile in adobo, adobo sauce, brown sugar, fresh cilantro, chili powder, garlic, kosher salt, ground black pepper, polenta, milk, water, white cheddar cheese, fresh ground black pepper, sour cream, mayonnaise, lime juice, cilantro, scallion, salt, pepper",distribute,9,{}
